table_name,fk_column,rows,distinct_users
account,user_id,12,12
activity_logs,user_id,513,12
channel_members,user_id,1,1
channel_messages,sender_id,83,10
channel_read_status,user_id,113,12
channels,created_by,15,2
conversation_participants,user_id,8,5
direct_messages,sender_id,30,2
dm_reactions,user_id,2,1
google_tokens,user_id,8,8
meeting_guests,user_id,0,0
meetings,assigned_to,0,0
meetings,created_by,0,0
message_reactions,user_id,22,3
milestones,claimed_by_id,0,0
milestones,created_by_id,1,1
notes,user_id,16,5
notifications,user_id,2349,12
routine_task_claims,claimed_by,16,4
routine_task_delegations,from_user_id,2,2
routine_task_delegations,to_user_id,2,2
routine_task_templates,created_by,6,1
saved_messages,user_id,3,1
saved_tasks,user_id,2,1
session,user_id,61,12
task_collaborators,user_id,3,3
task_comments,author_user_id,81,11
task_delegations,from_user_id,0,0
task_delegations,to_user_id,0,0
tasks,assignee_id,103,11
tasks,completed_by,91,11
tasks,direct_assignee_id,30,10
tasks,pended_by,5,3
thread_replies,sender_id,37,6
user,id (PK),12,12
user_activity_daily,user_id,97,12
user_archived_tasks,user_id,10,1
